"","title_kr","title_en","content","time","director","country","year"
"1","#BKKY","#BKKY","‘천사들의 도시’ 방콕의 10대들을 유쾌하게 그린 젊은 감독 논타왓 눔벤차폰의 발랄한 영화. 17세 소녀 ’조조’는 고등학교 졸업반이다. 동성 친구 ’큐’의 고백을 받고 둘은 한동안 즐거운 한때를 보낸다. 아빠도 이성 친구보다는 동성 친구가 낫다고 생각하는 모양이다. 하지만 조조가 대학에 들어가고 새로운 남자친구 ’제프’를 만나게 되면서 큐와의 관계에는 위기가 오는데...
감독은 대도시 방...","75min","
				논타왓 눔벤차폰","Thailand","2016"
"2","[특별상영] 순례길에서 생긴 일","[Special Screening] Reward","카말 타브리지는 늘 다른 이들이 다루기 꺼려하는 주제에 관심을 가져온 베테랑 감독이다. 이란-이라크 전쟁이 한창일 때 (1995)라는 영화를 만들어 그 누구도 시도하지 않았던 전쟁 코미디를 선보였다. 2003년에는 신부 옷을 입고 감옥을 탈출하는 도둑 이야기인 을 만들었다. 이 도둑은 국경으로 가는 도중 물라인 척하며 사람들에게 설교를 하기도 하는데, 이 영화는 ...","98min","
				카말 타브리지","Iran","2016"
"3","[특별상영] 자얀데루드의 밤","[Special Screening] The Nights of Zayandeh-rood","모흐센 마흐말바프의 필모그래피에는 라는 작품이 있었다. 마흐말바프가 보여 주었던 스타일이나 관심을 가졌던 주제를 생각해 볼 때, 우리는 이 영화가 어떤 영화인지, 그리고 왜 지금껏 볼 기회가 없었는지 무척이나 궁금했다. 관객들에게는 미스터리로 남아있었던 것이다.
이 작품은 1990년에 만들어졌지만 곧 상영 금지되었고, 현재까지 아무도 본 사람이 없다. 
바로 이 마흐말바...","63min","
				모흐센 마흐말바프","Iran/United Kingdom","2016"
"4","19세","That 19th","","25min","
				카를로스 마욜로","Colombia","2016"
"5","1분 54초","1:54","심리스릴러이자 성장영화인 <1분 54초>는 감내해야 하는 고통으로 인해 벼랑 끝으로 내몰린 남자 고등학생의 이야기로, 한계치에 도달해 더 이상은 돌아갈 곳이 없는 한 인간의 모습을 그린다. 16살인 팀은 똑똑하고 재능이 많지만 수줍음이 많은 소년으로 육상에 타고난 능력을 갖추고 있다. 그러나 라이벌인 제프와 그의 친구들로 인해 지난 4년은 그에게 가혹한 시간이었다. 고등학교 마지막 해, 패배...","106min","
				얀 잉글랜드","Canada","2016"
"6","24 프레임","24 Frames","“<24 프레임>에 대한 첫 착상은 영화의 등장 이전에 나온 대표적인 화가들의 작품에 대해 곰곰 생각하던 때 이루어졌다. 나는 정확하게 리얼리티를 포착하려 한 이 시기 예술가들의 열망에 관해 깊이 생각했다. 피데르 브뢰헬의 『숲 속의 사냥꾼』이나 장 프랑수아 밀레의 『이삭 줍는 사람들』이 보여주듯 이들의 그림은 상세한 디테일로 이루어져 있다. 이 화가들은 이전도, 이후도 아닌 그 순간의 스냅...","04min","
				압바스 키아로스타미","Iran","2016"
"7","4+1","4+1","사고로 부모를 잃은 아크졸에게 4명의 어린 여동생들이 남겨진다. 성실하고 심지가 굳은 아크졸은 동생들을 돌보기 위해 대학을 중퇴하고 생업전선에 나서보지만, 하루하루 버텨내기도 힘겹고 주인집 눈치를 보며 사는 것도 힘겹다. 수학에 남다른 재능을 가진 아크졸에게 우연히 만난 대학은사는 특별한 기회를 제공하며 격려하지만, 두터운 현실의 벽 앞에서 학업에 대한 꿈은 그저 사치스러운 꿈일지도 모른다....","103min","
				파르캇 샤리포브","Kazakhstan","2016"
"8","500미터 800미터","500M800M","1997년 물막이 공사가 한창인 중국 삼협댐 인근 농촌, 홍펀은 남편 웨이동과 시아버지, 8살 딸과 함께 해발 800미터 산골에 살고 있다. 자연보호를 위해 산 아래 신거주지로 이주시키려는 정부의 정책에 의해 홍펀 가족은 이사를 간다. 홍펀은 딸이 학교에 다닐 수 있어 기뻐하지만, 시아버지는 더 이상 진흙 인형을 만들 수 없어 좌절한다. 500미터 이하 신거주지로 내려온 홍펀 가족은 뜻밖의 ...","83min","
				야오티안","Hong Kong, China","2016"
"9","가능한 삶","A Possible Life","안나는 남편의 학대를 피해 아들 발레리오와 함께 오랜 친구인 카를라의 집으로 도망간다. 연극배우인 화통하고 개방적인 카를라는 부자는 아니지만 곤경에 처한 이들 모자에게 기꺼이 방을 내어준다. 안나와 발레리오는 새로운 삶에 적응하고자 하나, 이해되지 않는 것도 많고 어려움도 많다. 카를라와, 레스토랑을 운영하고 있는 프랑스인 이웃 마티유가 이들에게 또 다른 삶을 시작할 용기를 준다.
이탈리아...","107min","
				이바노 데 마테오","Italy/France","2016"
"10","가샹과 파랑","Ghashang & Farang","우애가 좋은 노년의 자매인 가샹과 파랑은 가샹의 남편이 죽은 이후 줄곧 함께 해왔다. 영화평론가인 바흐만은 화가인 아내와 이혼해 어머니 파랑과 이모 가샹, 그리고 사촌 바히드와 함께 대가족을 이뤄 살고 있다. 줄곧 영화와 글 속에 빠져 사는 바흐만을 견디지 못해 화가인 아내는 그의 곁을 떠났고, 바흐만은 베르히만에 대한 평론집을 준비 중이다. 현실에 발붙이지 못하는 이상주의자 아버지가 못마땅...","90min","
				바히드 무사이앙","Iran","2016"
"11","가을날","Autumn Days","오랫동안 구로사와 아키라 감독의 곁을 지켜온 노가미 테루요 여사와 함께 보내는 가을날의 한 순간. 그녀와 나누는 대화와 한적한 벤치에 앉아 맞이하는 순간들이 모두 기적처럼 소중한 기록으로 남는다.","24min","
				차이밍량","Taiwan","2016"
"12","거울의 도시","The City of Mirrors: A Fictional Biography","오랜 세월을 함께 한 남다를 것 없어 보이는 부부가 있다. 부인은 남편에게 맥주 좀 그만 마시라고 잔소리를 하고, 남편은 부인에게 살 좀 빼라며 핀잔을 준다. 경제적으로 풍족하지 않은 탓에 빚쟁이가 집까지 찾아오고 우편으로 최고장이 온다. 하지만 호랑이가 다니던 시절, 구정 대공습 이후에 열심히 돈을 모아 마련한 집에 대해 애착이 남다를 수밖에 없다. 하나뿐인 아들은 자라서 멀리 떠나가는데,...","87min","
				츠엉민퀴","Vietnam","2016"
